role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
C;Valoti;Monza;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Dendoncker;Napoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Nicolussi Caviglia;Juventus;6;5.92;6.0;0;0;0;0;0;0;1;1;0.0;0.0;2023-2024;0;2024
C;Obiang;Sassuolo;7;5.57;5.5;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Adopo;Atalanta;4;5.75;6.0;0;0;0;0;0;0;1;0;0.0;0.0;2023-2024;0;2024
C;Basic;Salernitana;14;5.54;5.36;0;0;0;0;0;0;0;5;0.0;0.0;2023-2024;0;2024
C;Belahyane;Verona;2;6.25;6.25;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Amatucci;Fiorentina;1;5.5;5.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Infantino;Fiorentina;3;5.83;5.67;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Pagano;Roma;2;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Gomis I.;Salernitana;5;5.7;5.7;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;D'Alessandro;Monza;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Gomez;Monza;2;6.25;6.25;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Mancosu;Cagliari;3;5.33;4.33;0;0;0;1;0;1;0;0;0.0;0.0;2023-2024;0;2024
C;Pogba;Juventus;2;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Benassi;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Machin;Monza;8;5.94;5.81;0;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Rog;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Melegoni;Genoa;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Garritano;Frosinone;10;5.9;5.85;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Crociata;Empoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Castillejo;Sassuolo;11;5.77;5.68;0;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Bourabia;Frosinone;5;5.5;5.4;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Jagiello;Genoa;1;5.0;5.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Demme;Napoli;2;6.25;6.5;0;0;0;0;0;0;1;1;0.0;0.0;2023-2024;0;2024
C;Quina;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Pobega;Milan;7;5.93;5.93;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Romero L.;Milan;2;6.0;5.75;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Pyyhtia;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Pafundi;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Helgason;Lecce;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Hrustic;Verona;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Ilkhan;Torino;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Degli Innocenti;Empoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Faticanti;Lecce;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Pisilli;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Belardinelli;Empoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Camara E.;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Lella;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Haoudi;Frosinone;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Saco;Napoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Joselito;Verona;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Nonge;Juventus;1;5.0;4.5;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Popovic;Monza;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
